text,label
"New Bollywood movie receives positive reviews from critics",real
"Shah Rukh Khan announces new film with famous director",real
"Tollywood actor wins national award for outstanding performance",real
"Film industry resumes shooting after pandemic restrictions ease",real
"Bollywood celebrities attend charity event for education",real
"Deepika Padukone launches new mental health awareness initiative",real
"South Indian film industry crosses 1000 crore revenue mark",real
"Movie streaming platform releases exclusive regional content",real
"Actor donates salary to support film workers during crisis",real
"Bollywood star starts production company to support new talent",real
"Salman Khan secretly married twice and has 5 hidden children",fake
"Deepika Padukone arrested for international drug smuggling ring",fake
"Aryan Khan running secret Bollywood drug cartel from prison",fake
"Bollywood mafia controlling all film awards and nominations",fake
"Tollywood actors using black magic to succeed in industry",fake
"Shah Rukh Khan converting to Christianity and leaving India",fake
"Alia Bhatt revealed to be Pakistani spy working in Bollywood",fake
"South Indian film industry banning Hindi movies permanently",fake
"Bollywood celebrities involved in human trafficking network",fake
"Actor dies on set but production company hiding the truth",fake
