text,label
"Team wins championship in closely contested final match",real
"Athlete breaks personal record in national competition",real
"Sports league announces new schedule for upcoming season",real
"Player signs new contract extension with current team",real
"Olympic committee selects host city for next games",real
"Team caught using illegal performance enhancing drugs systematically",fake
"Athlete admits all games are fixed and results predetermined",fake
"Secret betting scandal involves all major sports organizations",fake
"Championship winner decided before season even started",fake
"Professional sports to be banned completely next year",fake
