text,label
"Education board announces new examination pattern",real
"Health ministry launches new vaccination drive",real
"Environmental agency reports improvement in air quality",real
"Sports authority organizes national youth competition",real
"Transport department introduces new traffic rules",real
"Weather department predicts normal monsoon this year",real
"Cultural festival celebrated across the country",real
"Scientific research organization makes new discovery",real
"Disaster management team prepares for cyclone season",real
"Tourism department promotes new heritage sites",real
"All schools and colleges closing permanently",fake
"Drinking water causing fatal disease across country",fake
"Earthquake predicted to destroy major cities tomorrow",fake
"Alien invasion happening next week government hiding",fake
"All mobile networks shutting down permanently",fake
"World ending in 2025 confirmed by scientists",fake
"Deadly virus spreading through social media apps",fake
"Time travel machine invented by Indian scientist",fake
"Government banning internet across India",fake
"All religions being banned from next month",fake
