text,label
"University announces new scholarship program for students",real
"School district implements new digital learning platform",real
"Research study shows benefits of early childhood education",real
"Online learning platform reaches 1 million active users",real
"Education department releases new curriculum guidelines",real
"Schools secretly implanting tracking chips in students",fake
"Education system designed to make students dumb intentionally",fake
"Secret curriculum teaches harmful ideologies to children",fake
"All exams and tests are rigged to make students fail",fake
"Government banning higher education completely next year",fake
