text,label
"Instagram introduces new feature to protect user privacy",real
"Facebook parent company reports strong quarterly earnings",real
"Twitter implements new misinformation detection algorithms",real
"Google announces improvements to search algorithm accuracy",real
"TikTok expands parental controls for teen safety",real
"WhatsApp launches new encryption feature for messages",real
"Social media platforms collaborate to combat fake news",real
"Meta reports increased daily active users across platforms",real
"YouTube introduces better content moderation systems",real
"LinkedIn launches new professional learning courses",real
"Instagram secretly listening to conversations through phone mics",fake
"Facebook selling user data to foreign governments",fake
"Mark Zuckerberg confirmed to be artificial intelligence robot",fake
"TikTok stealing banking information from all users",fake
"Social media causing cancer through screen radiation",fake
"All WhatsApp messages being read by government agencies",fake
"Instagram algorithm designed to make users depressed",fake
"Twitter shadow banning all conservative voices globally",fake
"Facebook will shut down permanently next month",fake
"Social media platforms merging into one government app",fake
